[Spectrum]
Version            = 1
IDData             = DLAB_2024-07-09_07-31-44_020_202
IDDevice           = SAM_8861
IDDataType         = SPECTRUM
IDDataTypeSub1     = CAL
IDDataTypeSub2     = Aqua
IDDataTypeSub3     = 
DateTime           = 2024-07-09 07:31:44
 151 0.50645139410889 0 0
 152 0.489738483551959 0 0
 153 0.47349235720926 0 0
 154 0.45746153180958 0 0
 155 0.441959004043797 0 0
 156 0.426948548556848 0 0
 157 0.411702264987058 0 0
 158 0.396583310466352 0 0
 159 0.381590916854868 0 0
 160 0.366495056235596 0 0
 161 0.351508812863888 0 0
 162 0.336207453252385 0 0
 163 0.32119514833177 0 0
 164 0.306397475199639 0 0
 165 0.292042909622275 0 0
 166 0.27837092670838 0 0
 167 0.265281964711574 0 0
 168 0.252951797958651 0 0
 169 0.241264677273194 0 0
 170 0.230411869696451 0 0
 171 0.220358181581306 0 0
 172 0.210891580374692 0 0
 173 0.202299279710558 0 0
 174 0.194144736466222 0 0
 175 0.186650875706812 0 0
 176 0.179511067372332 0 0
 177 0.172516109697327 0 0
 178 0.16561756206598 0 0
 179 0.159166169619396 0 0
 180 0.152998163282504 0 0
 181 0.146513675272035 0 0
 182 0.140409900281597 0 0
 183 0.134335764141637 0 0
 184 0.12851488332756 0 0
 185 0.122835589609457 0 0
 186 0.11734589849224 0 0
 187 0.111870147708418 0 0
 188 0.106296477061845 0 0
 189 0.100592871696445 0 0
 190 0.0946793298888782 0 0
 191 0.0890354739712412 0 0
 192 0.0836614566418888 0 0
 193 0.0790533238671168 0 0
 194 0.0748115053933286 0 0
 195 0.0711306614981467 0 0
 196 +NAN 0 0
 197 +NAN 0 0
 198 +NAN 0 0
 199 +NAN 0 0
 200 +NAN 0 0
 201 +NAN 0 0
 202 +NAN 0 0
 203 +NAN 0 0
 204 +NAN 0 0
 205 +NAN 0 0
 206 +NAN 0 0
 207 +NAN 0 0
 208 +NAN 0 0
 209 +NAN 0 0
 210 +NAN 0 0
 211 +NAN 0 0
 212 +NAN 0 0
 213 +NAN 0 0
 214 +NAN 0 0
 215 +NAN 0 0
 216 +NAN 0 0
 217 +NAN 0 0
 218 +NAN 0 0
 219 +NAN 0 0
 220 +NAN 0 0
 221 +NAN 0 0
 222 +NAN 0 0
 223 +NAN 0 0
 224 +NAN 0 0
 225 +NAN 0 0
 226 +NAN 0 0
 227 +NAN 0 0
 228 +NAN 0 0
 229 +NAN 0 0
 230 +NAN 0 0
 231 +NAN 0 0
 232 +NAN 0 0
 233 +NAN 0 0
 234 +NAN 0 0
 235 +NAN 0 0
 236 +NAN 0 0
 237 +NAN 0 0
 238 +NAN 0 0
 239 +NAN 0 0
 240 +NAN 0 0
 241 +NAN 0 0
 242 +NAN 0 0
 243 +NAN 0 0
 244 +NAN 0 0
 245 +NAN 0 0
 246 +NAN 0 0
 247 +NAN 0 0
 248 +NAN 0 0
 249 +NAN 0 0
 250 +NAN 0 0
 251 +NAN 0 0
 252 +NAN 0 0
 253 +NAN 0 0
 254 +NAN 0 0
 255 +NAN 0 0
[END] of [DATA]
[END] of [Spectrum]

