[Spectrum]
Version            = 1
IDData             = DLAB_2024-07-04_08-22-40_130_756
IDDevice           = SAM_8860
IDDataType         = SPECTRUM
IDDataTypeSub1     = BACK
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2024-07-04 08:13:48
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Calibration Station
MethodName         = SAM Calibration Station
Mission            = 
MissionSub         = 0
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = 
IDDataCal = 
IntegrationTime = 8192
 135 0.018280968277063 0.0182046879486505 0
 136 0.0182572790712911 0.0184816171422386 0
 137 0.0182756102764292 0.0182760587599418 0
 138 0.0182470352035908 0.0183443661863153 0
 139 0.0182721924551255 0.0182898192915783 0
 140 0.018230492383177 0.0183012455829092 0
 141 0.0182707533724714 0.01816157956457 0
 142 0.0182518917585956 0.0182851930549214 0
 143 0.018292205265334 0.0181544906101274 0
 144 0.0182336123729954 0.0184348401675014 0
 145 0.0182723426794424 0.0181851173022722 0
 146 0.0182505435782283 0.0183162509146966 0
 147 0.0182698255061335 0.0183025102831047 0
 148 0.0182523569131004 0.0182628990699993 0
 149 0.0182658064386093 0.0182503719919972 0
 150 0.0182442810911155 0.0182430028658757 0
 151 0.018289774283445 0.0182165482006006 0
 152 0.0182514147396847 0.0182112479808582 0
 153 0.0182776830579437 0.0181330235244222 0
 154 0.0182289993872662 0.0181907739771974 0
 155 0.0182695395390541 0.0181529926953755 0
 156 0.0182542569628221 0.0181217648124132 0
 157 0.0182703457952308 0.0182395350212819 0
 158 0.0182552054173938 0.0181361347392715 0
 159 0.0182759602764055 0.0182416739269402 0
 160 0.0182545488621044 0.0184009821619932 0
 161 0.0182769073351648 0.0181692311316737 0
 162 0.0182603369474547 0.0183544569053626 0
 163 0.018266420247142 0.018214038002007 0
 164 0.0182537431293574 0.0182371475396293 0
 165 0.0182652779491138 0.0183105750379741 0
 166 0.0182464517539793 0.0184242571841959 0
 167 0.01828703587386 0.0182772183739374 0
 168 0.0182579909356497 0.0185329404043311 0
 169 0.0182772765275625 0.0182300505553442 0
 170 0.0182581907113091 0.0182301830477456 0
 171 0.0182743817869811 0.0182237420666812 0
 172 0.0182530408612096 0.0182620510488055 0
 173 0.0182752082824385 0.018371127556662 0
 174 0.018265178671952 0.0180387793576155 0
